"","MSZoning","Street","LandContour","LotConfig","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","Foundation","Heating","GarageType","SaleType","SaleCondition","Alley","Fence","MiscFeature","Quarter","LotShape","Utilities","LandSlope","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageFinish","GarageQual","GarageCond","PavedDrive","PoolQC","OverallQual","OverallCond","MSSubClass","LotFrontage","LotArea","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","YrSold","GarageAge","Age","RemodAge"
"1","RL","Pave","Lvl","Inside","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","I","Reg","AllPub","Gtl","Gd","TA","Gd","TA","No","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ",NA,"RFn","TA","TA","Y",NA,"7","5",60,65,8450,196,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,2008,5,5,5
"2","RL","Pave","Lvl","FR2","Veenker","Feedr","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","Gd","TA","Gd","ALQ","Unf","Ex","Y","SBrkr","TA","Typ","TA","RFn","TA","TA","Y",NA,"6","8",20,80,9600,0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,2007,31,31,31
"3","RL","Pave","Lvl","Inside","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","III","IR1","AllPub","Gtl","Gd","TA","Gd","TA","Mn","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ","TA","RFn","TA","TA","Y",NA,"7","5",60,68,11250,162,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,2008,7,7,6
"4","RL","Pave","Lvl","Corner","Crawfor","Norm","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Shng","None","BrkTil","GasA","Detchd","WD","Abnorml","N/A","N/A","N/A","I","IR1","AllPub","Gtl","TA","TA","TA","Gd","No","ALQ","Unf","Gd","Y","SBrkr","Gd","Typ","Gd","Unf","TA","TA","Y",NA,"7","5",70,60,9550,0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,2006,8,91,36
"5","RL","Pave","Lvl","FR2","NoRidge","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","IV","IR1","AllPub","Gtl","Gd","TA","Gd","TA","Av","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ","TA","RFn","TA","TA","Y",NA,"8","5",60,84,14260,350,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,2008,8,8,8
"6","RL","Pave","Lvl","Inside","Mitchel","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","None","Wood","GasA","Attchd","WD","Normal","N/A","MnPrv","Shed","IV","IR1","AllPub","Gtl","TA","TA","Gd","TA","No","GLQ","Unf","Ex","Y","SBrkr","TA","Typ",NA,"Unf","TA","TA","Y",NA,"5","5",50,85,14115,0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,2009,16,16,14
"7","RL","Pave","Lvl","Inside","Somerst","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","PConc","GasA","Attchd","WD","Normal","N/A","N/A","N/A","III","Reg","AllPub","Gtl","Gd","TA","Ex","TA","Av","GLQ","Unf","Ex","Y","SBrkr","Gd","Typ","Gd","RFn","TA","TA","Y",NA,"8","5",20,75,10084,186,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,2007,3,3,2
"8","RL","Pave","Lvl","Corner","NWAmes","PosN","Norm","1Fam","2Story","Gable","CompShg","HdBoard","HdBoard","Stone","CBlock","GasA","Attchd","WD","Normal","N/A","N/A","Shed","IV","IR1","AllPub","Gtl","TA","TA","Gd","TA","Mn","ALQ","BLQ","Ex","Y","SBrkr","TA","Typ","TA","RFn","TA","TA","Y",NA,"7","6",60,70.0499583680267,10382,240,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,2009,36,36,36
"9","RM","Pave","Lvl","Inside","OldTown","Artery","Norm","1Fam","1.5Fin","Gable","CompShg","BrkFace","Wd Shng","None","BrkTil","GasA","Detchd","WD","Abnorml","N/A","N/A","N/A","II","Reg","AllPub","Gtl","TA","TA","TA","TA","No","Unf","Unf","Gd","Y","FuseF","TA","Min1","TA","Unf","Fa","TA","Y",NA,"7","5",50,51,6120,0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,2008,77,77,58
"10","RL","Pave","Lvl","Corner","BrkSide","Artery","Artery","2fmCon","1.5Unf","Gable","CompShg","MetalSd","MetalSd","None","BrkTil","GasA","Attchd","WD","Normal","N/A","N/A","N/A","I","Reg","AllPub","Gtl","TA","TA","TA","TA","No","GLQ","Unf","Ex","Y","SBrkr","TA","Typ","TA","RFn","Gd","TA","Y",NA,"5","6",190,50,7420,0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,2008,69,69,58
